HDR,ROLLING SYSTEM DEMAND
VD,20211017040500,20316
VD,20211017041000,20353
VD,20211017041500,20407
VD,20211017042000,20269
VD,20211017042500,20238
VD,20211017043000,20452
VD,20211017043500,20446
VD,20211017044000,20414
VD,20211017044500,20484
VD,20211017045000,20554
VD,20211017045500,20564
VD,20211017050000,20614
VD,20211017050500,20862
VD,20211017051000,21039
VD,20211017051500,21162
VD,20211017052000,21257
VD,20211017052500,21387
VD,20211017053000,21480
VD,20211017053500,21687
VD,20211017054000,21799
VD,20211017054500,22027
VD,20211017055000,22185
VD,20211017055500,22225
VD,20211017060000,22173
VD,20211017060500,22301
VD,20211017061000,22376
VD,20211017061500,22355
VD,20211017062000,22492
VD,20211017062500,22742
VD,20211017063000,22897
VD,20211017063500,22838
VD,20211017064000,22951
VD,20211017064500,23204
VD,20211017065000,23385
VD,20211017065500,23657
VD,20211017070000,23964
VD,20211017070500,24232
VD,20211017071000,24605
VD,20211017071500,24770
VD,20211017072000,24987
VD,20211017072500,25211
VD,20211017073000,25398
VD,20211017073500,25608
VD,20211017074000,25880
VD,20211017074500,26116
VD,20211017075000,26396
VD,20211017075500,26725
VD,20211017080000,26971
VD,20211017080500,27262
VD,20211017081000,27603
VD,20211017081500,27894
VD,20211017082000,28075
VD,20211017082500,28196
VD,20211017083000,28213
VD,20211017083500,28303
VD,20211017084000,28504
VD,20211017084500,28663
VD,20211017085000,28848
VD,20211017085500,29005
VD,20211017090000,29152
VD,20211017090500,29271
VD,20211017091000,29503
VD,20211017091500,29591
VD,20211017092000,29476
VD,20211017092500,29503
VD,20211017093000,29662
VD,20211017093500,29729
VD,20211017094000,29697
VD,20211017094500,29744
VD,20211017095000,29746
VD,20211017095500,29817
VD,20211017100000,29818
VD,20211017100500,29809
VD,20211017101000,29869
VD,20211017101500,29820
VD,20211017102000,29787
VD,20211017102500,29816
VD,20211017103000,29779
VD,20211017103500,29780
VD,20211017104000,29741
VD,20211017104500,29738
VD,20211017105000,29708
VD,20211017105500,29679
VD,20211017110000,29664
VD,20211017110500,29840
VD,20211017111000,29819
VD,20211017111500,29787
VD,20211017112000,29745
VD,20211017112500,29728
VD,20211017113000,29736
VD,20211017113500,29784
VD,20211017114000,29804
VD,20211017114500,29864
VD,20211017115000,29798
VD,20211017115500,29595
VD,20211017120000,29473
VD,20211017120500,29534
VD,20211017121000,29428
VD,20211017121500,29207
VD,20211017122000,29163
VD,20211017122500,28972
VD,20211017123000,28932
VD,20211017123500,28839
VD,20211017124000,28794
VD,20211017124500,28714
VD,20211017125000,28686
VD,20211017125500,28762
VD,20211017130000,28797
VD,20211017130500,28931
VD,20211017131000,28932
VD,20211017131500,28894
VD,20211017132000,28831
VD,20211017132500,28741
VD,20211017133000,28709
VD,20211017133500,28674
VD,20211017134000,28648
VD,20211017134500,28734
VD,20211017135000,28763
VD,20211017135500,28867
VD,20211017140000,28898
VD,20211017140500,29071
VD,20211017141000,29155
VD,20211017141500,29152
VD,20211017142000,29257
VD,20211017142500,29422
VD,20211017143000,29482
VD,20211017143500,29512
VD,20211017144000,29607
VD,20211017144500,29818
VD,20211017145000,29957
VD,20211017145500,30132
VD,20211017150000,30387
VD,20211017150500,30683
VD,20211017151000,30867
VD,20211017151500,31050
VD,20211017152000,31335
VD,20211017152500,31586
VD,20211017153000,31749
VD,20211017153500,32053
VD,20211017154000,32284
VD,20211017154500,32496
VD,20211017155000,32700
VD,20211017155500,32963
VD,20211017160000,33153
VD,20211017160500,33333
VD,20211017161000,33534
VD,20211017161500,33713
VD,20211017162000,33883
VD,20211017162500,34021
VD,20211017163000,34076
VD,20211017163500,34170
VD,20211017164000,34326
VD,20211017164500,34331
VD,20211017165000,34532
VD,20211017165500,34508
VD,20211017170000,34595
VD,20211017170500,34708
VD,20211017171000,34747
VD,20211017171500,34893
VD,20211017172000,35158
VD,20211017172500,35312
VD,20211017173000,35354
VD,20211017173500,35423
VD,20211017174000,35386
VD,20211017174500,35314
VD,20211017175000,35226
VD,20211017175500,35226
VD,20211017180000,35099
VD,20211017180500,34926
VD,20211017181000,34662
VD,20211017181500,34577
VD,20211017182000,34484
VD,20211017182500,34348
VD,20211017183000,34188
VD,20211017183500,34023
VD,20211017184000,33893
VD,20211017184500,33770
VD,20211017185000,33514
VD,20211017185500,33222
VD,20211017190000,33242
VD,20211017190500,33101
VD,20211017191000,32935
VD,20211017191500,32767
VD,20211017192000,32537
VD,20211017192500,32264
VD,20211017193000,32201
VD,20211017193500,32113
VD,20211017194000,31775
VD,20211017194500,31548
VD,20211017195000,31340
VD,20211017195500,31081
VD,20211017200000,30797
VD,20211017200500,30705
VD,20211017201000,30489
VD,20211017201500,30185
VD,20211017202000,29605
VD,20211017202500,29212
VD,20211017203000,28886
VD,20211017203500,28650
VD,20211017204000,28318
VD,20211017204500,28081
VD,20211017205000,27797
VD,20211017205500,27572
VD,20211017210000,27239
VD,20211017210500,27015
VD,20211017211000,26810
VD,20211017211500,26643
VD,20211017212000,26478
VD,20211017212500,26271
VD,20211017213000,26044
VD,20211017213500,25812
VD,20211017214000,25556
VD,20211017214500,25264
VD,20211017215000,24977
VD,20211017215500,24633
VD,20211017220000,24606
VD,20211017220500,24441
VD,20211017221000,24132
VD,20211017221500,23845
VD,20211017222000,23674
VD,20211017222500,23523
VD,20211017223000,23464
VD,20211017223500,23468
VD,20211017224000,23473
VD,20211017224500,23384
VD,20211017225000,23120
VD,20211017225500,23011
VD,20211017230000,22842
VD,20211017230500,22789
VD,20211017231000,22680
VD,20211017231500,22589
VD,20211017232000,22605
VD,20211017232500,22577
VD,20211017233000,22490
VD,20211017233500,22438
VD,20211017234000,22383
VD,20211017234500,22340
VD,20211017235000,22210
VD,20211017235500,22197
VD,20211018000000,22090
VD,20211018000500,22248
VD,20211018001000,22161
VD,20211018001500,22106
VD,20211018002000,22140
VD,20211018002500,22125
VD,20211018003000,22092
VD,20211018003500,22220
VD,20211018004000,22069
VD,20211018004500,22093
VD,20211018005000,22069
VD,20211018005500,21932
VD,20211018010000,21929
VD,20211018010500,22192
VD,20211018011000,22295
VD,20211018011500,22224
VD,20211018012000,22114
VD,20211018012500,22041
VD,20211018013000,21920
VD,20211018013500,21949
VD,20211018014000,21906
VD,20211018014500,21808
VD,20211018015000,21762
VD,20211018015500,21662
VD,20211018020000,21622
VD,20211018020500,21649
VD,20211018021000,21656
VD,20211018021500,21640
VD,20211018022000,21644
VD,20211018022500,21506
VD,20211018023000,21464
VD,20211018023500,21520
VD,20211018024000,21510
VD,20211018024500,21443
VD,20211018025000,21461
VD,20211018025500,21451
VD,20211018030000,21363
VD,20211018030500,21276
VD,20211018031000,21267
VD,20211018031500,21304
VD,20211018032000,21325
VD,20211018032500,21298
VD,20211018033000,21367
VD,20211018033500,21450
VD,20211018034000,21524
VD,20211018034500,21625
VD,20211018035000,21667
VD,20211018035500,21719
VD,20211018040000,21743
VD,20211018040500,21548
VD,20211018041000,21583
VD,20211018041500,21585
VD,20211018042000,21650
VD,20211018042500,21793
VD,20211018043000,21912
VD,20211018043500,22036
VD,20211018044000,22005
VD,20211018044500,22070
VD,20211018045000,22400
VD,20211018045500,22752
VD,20211018050000,23041
VD,20211018050500,23648
VD,20211018051000,24414
VD,20211018051500,24904
VD,20211018052000,25345
VD,20211018052500,25704
VD,20211018053000,25867
VD,20211018053500,26042
VD,20211018054000,26512
VD,20211018054500,27029
VD,20211018055000,27445
VD,20211018055500,27880
VD,20211018060000,28145
VD,20211018060500,29019
VD,20211018061000,29842
VD,20211018061500,30271
VD,20211018062000,30629
VD,20211018062500,30962
VD,20211018063000,31082
VD,20211018063500,31352
VD,20211018064000,31692
VD,20211018064500,31923
VD,20211018065000,32123
VD,20211018065500,32355
VD,20211018070000,32486
VD,20211018070500,32921
VD,20211018071000,33288
VD,20211018071500,33503
VD,20211018072000,33724
VD,20211018072500,33840
VD,20211018073000,33843
VD,20211018073500,33839
VD,20211018074000,33942
VD,20211018074500,33953
VD,20211018075000,34019
VD,20211018075500,34121
VD,20211018080000,34248
VD,20211018080500,34383
VD,20211018081000,34523
VD,20211018081500,34597
VD,20211018082000,34653
VD,20211018082500,34733
VD,20211018083000,34748
VD,20211018083500,34733
VD,20211018084000,34714
VD,20211018084500,34678
VD,20211018085000,34624
VD,20211018085500,34631
VD,20211018090000,34641
VD,20211018090500,34799
VD,20211018091000,34864
VD,20211018091500,34883
VD,20211018092000,34802
VD,20211018092500,34702
VD,20211018093000,34656
VD,20211018093500,34698
VD,20211018094000,34729
VD,20211018094500,34746
VD,20211018095000,34800
VD,20211018095500,34843
VD,20211018100000,34761
VD,20211018100500,34792
VD,20211018101000,34755
VD,20211018101500,34638
VD,20211018102000,34605
VD,20211018102500,34609
VD,20211018103000,34640
VD,20211018103500,34705
VD,20211018104000,34685
VD,20211018104500,34713
VD,20211018105000,34664
VD,20211018105500,34720
VD,20211018110000,34817
VD,20211018110500,34899
VD,20211018111000,34877
VD,20211018111500,34856
VD,20211018112000,34962
VD,20211018112500,35023
VD,20211018113000,34969
VD,20211018113500,34953
VD,20211018114000,34983
VD,20211018114500,34875
VD,20211018115000,34802
VD,20211018115500,34687
VD,20211018120000,34582
VD,20211018120500,34591
VD,20211018121000,34553
VD,20211018121500,34514
VD,20211018122000,34593
VD,20211018122500,34603
VD,20211018123000,34512
VD,20211018123500,34578
VD,20211018124000,34517
VD,20211018124500,34530
VD,20211018125000,34507
VD,20211018125500,34447
VD,20211018130000,34378
VD,20211018130500,34326
VD,20211018131000,34307
VD,20211018131500,34377
VD,20211018132000,34365
VD,20211018132500,34307
VD,20211018133000,34243
VD,20211018133500,34316
VD,20211018134000,34272
VD,20211018134500,34268
VD,20211018135000,34256
VD,20211018135500,34187
VD,20211018140000,34049
VD,20211018140500,33992
VD,20211018141000,34027
VD,20211018141500,34076
VD,20211018142000,34023
VD,20211018142500,34049
VD,20211018143000,34178
VD,20211018143500,34243
VD,20211018144000,34327
VD,20211018144500,34464
VD,20211018145000,34671
VD,20211018145500,34826
VD,20211018150000,35012
VD,20211018150500,35152
VD,20211018151000,35323
VD,20211018151500,35481
VD,20211018152000,35681
VD,20211018152500,35805
VD,20211018153000,35647
VD,20211018153500,35632
VD,20211018154000,35696
VD,20211018154500,35916
VD,20211018155000,36174
VD,20211018155500,36387
VD,20211018160000,36507
VD,20211018160500,36859
VD,20211018161000,37003
VD,20211018161500,37194
VD,20211018162000,37367
VD,20211018162500,37513
VD,20211018163000,37506
VD,20211018163500,37556
VD,20211018164000,37476
VD,20211018164500,37531
VD,20211018165000,37690
VD,20211018165500,37722
VD,20211018170000,37702
VD,20211018170500,37782
VD,20211018171000,37848
VD,20211018171500,37988
VD,20211018172000,38147
VD,20211018172500,38208
VD,20211018173000,38145
VD,20211018173500,38165
VD,20211018174000,38006
VD,20211018174500,38036
VD,20211018175000,37964
VD,20211018175500,37768
VD,20211018180000,37631
VD,20211018180500,37405
VD,20211018181000,37292
VD,20211018181500,37156
VD,20211018182000,37051
VD,20211018182500,36912
VD,20211018183000,36823
VD,20211018183500,36758
VD,20211018184000,36488
VD,20211018184500,36352
VD,20211018185000,36165
VD,20211018185500,35759
VD,20211018190000,35474
VD,20211018190500,35585
VD,20211018191000,35359
VD,20211018191500,35106
VD,20211018192000,34908
VD,20211018192500,34618
VD,20211018193000,34234
VD,20211018193500,33936
VD,20211018194000,33541
VD,20211018194500,33373
VD,20211018195000,33114
VD,20211018195500,32756
VD,20211018200000,32492
VD,20211018200500,32252
VD,20211018201000,31872
VD,20211018201500,31466
VD,20211018202000,31197
VD,20211018202500,30915
VD,20211018203000,30662
VD,20211018203500,30418
VD,20211018204000,30106
VD,20211018204500,29813
VD,20211018205000,29558
VD,20211018205500,29325
VD,20211018210000,29038
VD,20211018210500,28857
VD,20211018211000,28536
VD,20211018211500,28201
VD,20211018212000,27959
VD,20211018212500,27772
VD,20211018213000,27576
VD,20211018213500,27312
VD,20211018214000,27080
VD,20211018214500,26842
VD,20211018215000,26619
VD,20211018215500,26238
VD,20211018220000,25973
VD,20211018220500,25645
VD,20211018221000,25263
VD,20211018221500,24909
VD,20211018222000,24700
VD,20211018222500,24476
VD,20211018223000,24167
VD,20211018223500,24021
VD,20211018224000,23858
VD,20211018224500,23716
VD,20211018225000,23666
VD,20211018225500,23496
VD,20211018230000,23367
VD,20211018230500,23505
VD,20211018231000,23369
VD,20211018231500,23169
VD,20211018232000,23035
VD,20211018232500,22895
VD,20211018233000,22770
VD,20211018233500,22892
VD,20211018234000,22946
VD,20211018234500,22926
VD,20211018235000,22827
VD,20211018235500,22714
VD,20211019000000,22665
VD,20211019000500,22711
VD,20211019001000,22749
VD,20211019001500,22725
VD,20211019002000,22717
VD,20211019002500,22710
VD,20211019003000,22713
VD,20211019003500,22800
VD,20211019004000,22783
VD,20211019004500,22537
VD,20211019005000,22488
VD,20211019005500,22479
VD,20211019010000,22468
VD,20211019010500,22448
VD,20211019011000,22398
VD,20211019011500,22348
VD,20211019012000,22336
VD,20211019012500,22268
VD,20211019013000,22154
VD,20211019013500,22113
VD,20211019014000,21989
VD,20211019014500,21922
VD,20211019015000,21855
VD,20211019015500,21759
VD,20211019020000,21703
VD,20211019020500,21700
VD,20211019021000,21663
VD,20211019021500,21732
VD,20211019022000,21874
VD,20211019022500,21827
VD,20211019023000,21886
VD,20211019023500,21997
VD,20211019024000,22007
VD,20211019024500,21864
VD,20211019025000,21483
VD,20211019025500,21294
VD,20211019030000,21310
VD,20211019030500,21371
VD,20211019031000,21579
VD,20211019031500,21567
VD,20211019032000,21421
VD,20211019032500,21309
VD,20211019033000,21200
VD,20211019033500,21049
VD,20211019034000,21076
VD,20211019034500,21072
VD,20211019035000,21125
VD,20211019035500,21120
VD,20211019040000,20928
VD,20211019040500,21128
VD,20211019041000,21337
VD,20211019041500,21192
VD,20211019042000,21198
VD,20211019042500,21371
VD,20211019043000,21519
VD,20211019043500,21762
VD,20211019044000,21898
VD,20211019044500,21964
VD,20211019045000,22336
VD,20211019045500,22669
VD,20211019050000,22894
VD,20211019050500,23327
VD,20211019051000,24375
VD,20211019051500,24722
VD,20211019052000,25112
VD,20211019052500,25519
VD,20211019053000,25576
VD,20211019053500,26131
VD,20211019054000,26894
VD,20211019054500,27417
VD,20211019055000,27803
VD,20211019055500,28091
VD,20211019060000,28260
VD,20211019060500,28969
VD,20211019061000,29612
VD,20211019061500,30134
VD,20211019062000,30522
VD,20211019062500,30905
VD,20211019063000,30994
VD,20211019063500,31263
VD,20211019064000,31630
VD,20211019064500,31919
VD,20211019065000,32282
VD,20211019065500,32410
VD,20211019070000,32529
VD,20211019070500,32556
VD,20211019071000,32726
VD,20211019071500,32900
VD,20211019072000,32945
VD,20211019072500,32909
VD,20211019073000,32824
VD,20211019073500,32936
VD,20211019074000,32966
VD,20211019074500,33018
VD,20211019075000,33013
VD,20211019075500,33028
VD,20211019080000,33202
VD,20211019080500,33407
VD,20211019081000,33412
VD,20211019081500,33318
VD,20211019082000,33408
VD,20211019082500,33410
VD,20211019083000,33453
VD,20211019083500,33588
VD,20211019084000,33602
VD,20211019084500,33524
VD,20211019085000,33488
VD,20211019085500,33521
VD,20211019090000,33443
VD,20211019090500,33294
VD,20211019091000,33321
VD,20211019091500,33267
VD,20211019092000,33094
VD,20211019092500,33088
VD,20211019093000,33091
VD,20211019093500,33117
VD,20211019094000,33059
VD,20211019094500,33022
VD,20211019095000,33031
VD,20211019095500,32932
VD,20211019100000,32976
VD,20211019100500,32899
VD,20211019101000,32898
VD,20211019101500,32797
VD,20211019102000,32691
VD,20211019102500,32726
VD,20211019103000,32636
VD,20211019103500,32702
VD,20211019104000,32695
VD,20211019104500,32580
VD,20211019105000,32497
VD,20211019105500,32450
VD,20211019110000,32512
VD,20211019110500,32276
VD,20211019111000,32218
VD,20211019111500,32466
VD,20211019112000,32412
VD,20211019112500,32304
VD,20211019113000,32147
VD,20211019113500,32276
VD,20211019114000,32182
VD,20211019114500,32064
VD,20211019115000,32020
VD,20211019115500,32089
VD,20211019120000,32442
VD,20211019120500,32261
VD,20211019121000,32123
VD,20211019121500,32095
VD,20211019122000,32006
VD,20211019122500,31586
VD,20211019123000,31806
VD,20211019123500,31716
VD,20211019124000,31654
VD,20211019124500,31650
VD,20211019125000,31596
VD,20211019125500,31623
VD,20211019130000,31613
VD,20211019130500,31693
VD,20211019131000,31650
VD,20211019131500,31586
VD,20211019132000,31489
VD,20211019132500,31503
VD,20211019133000,31524
VD,20211019133500,31548
VD,20211019134000,31390
VD,20211019134500,31308
VD,20211019135000,31407
VD,20211019135500,31396
VD,20211019140000,31417
VD,20211019140500,31517
VD,20211019141000,31608
VD,20211019141500,31671
VD,20211019142000,31700
VD,20211019142500,31794
VD,20211019143000,31810
VD,20211019143500,31934
VD,20211019144000,32054
VD,20211019144500,32212
VD,20211019145000,32393
VD,20211019145500,32428
VD,20211019150000,32609
VD,20211019150500,32861
VD,20211019151000,33123
VD,20211019151500,33333
VD,20211019152000,33548
VD,20211019152500,33635
VD,20211019153000,33654
VD,20211019153500,33822
VD,20211019154000,34036
VD,20211019154500,34253
VD,20211019155000,34443
VD,20211019155500,34532
VD,20211019160000,34646
VD,20211019160500,34788
VD,20211019161000,35039
VD,20211019161500,35126
VD,20211019162000,35265
VD,20211019162500,35421
VD,20211019163000,35615
VD,20211019163500,35741
VD,20211019164000,35821
VD,20211019164500,35866
VD,20211019165000,35971
VD,20211019165500,35978
VD,20211019170000,36038
VD,20211019170500,36291
VD,20211019171000,36505
VD,20211019171500,36641
VD,20211019172000,36705
VD,20211019172500,36770
VD,20211019173000,36731
VD,20211019173500,36796
VD,20211019174000,36681
VD,20211019174500,36560
VD,20211019175000,36495
VD,20211019175500,36184
VD,20211019180000,35865
VD,20211019180500,35931
VD,20211019181000,35792
VD,20211019181500,35696
VD,20211019182000,35451
VD,20211019182500,35136
VD,20211019183000,34962
VD,20211019183500,34968
VD,20211019184000,34700
VD,20211019184500,34446
VD,20211019185000,34203
VD,20211019185500,33888
VD,20211019190000,33612
VD,20211019190500,33511
VD,20211019191000,33242
VD,20211019191500,32935
VD,20211019192000,32715
VD,20211019192500,32368
VD,20211019193000,32142
VD,20211019193500,32012
VD,20211019194000,31670
VD,20211019194500,31533
VD,20211019195000,31341
VD,20211019195500,31036
VD,20211019200000,30808
VD,20211019200500,30604
VD,20211019201000,30250
VD,20211019201500,29895
VD,20211019202000,29669
VD,20211019202500,29370
VD,20211019203000,29172
VD,20211019203500,28928
VD,20211019204000,28659
VD,20211019204500,28255
VD,20211019205000,27895
VD,20211019205500,27607
VD,20211019210000,27266
VD,20211019210500,27194
VD,20211019211000,27114
VD,20211019211500,27096
VD,20211019212000,27171
VD,20211019212500,26961
VD,20211019213000,26652
VD,20211019213500,26607
VD,20211019214000,26361
VD,20211019214500,26274
VD,20211019215000,26192
VD,20211019215500,26013
VD,20211019220000,25553
VD,20211019220500,24626
VD,20211019221000,24393
VD,20211019221500,24334
VD,20211019222000,24420
VD,20211019222500,23963
VD,20211019223000,24023
VD,20211019223500,23798
VD,20211019224000,23563
VD,20211019224500,23300
VD,20211019225000,23174
VD,20211019225500,23117
VD,20211019230000,23220
VD,20211019230500,23398
VD,20211019231000,23422
VD,20211019231500,23454
VD,20211019232000,23408
VD,20211019232500,23475
VD,20211019233000,23409
VD,20211019233500,23562
VD,20211019234000,23554
VD,20211019234500,23491
VD,20211019235000,23340
VD,20211019235500,23194
VD,20211020000000,22955
VD,20211020000500,22763
VD,20211020001000,22778
VD,20211020001500,22691
VD,20211020002000,22686
VD,20211020002500,22685
VD,20211020003000,22649
VD,20211020003500,22879
VD,20211020004000,22961
VD,20211020004500,23051
VD,20211020005000,22914
